id,sector,paginas,copias,estado,modalidad
I001,Biblioteca,40,2,CONFIRMADO,DOBLE_FAZ
I002,Docencia,5,2,CONFIRMADO,DOBLE_FAZ
I003,Administracion,20,3,CONFIRMADO,NORMAL
I004,Extension,5,1,CONFIRMADO,DOBLE_FAZ
I005,Biblioteca,1,1,CONFIRMADO,NORMAL
I006,Docencia,1000,100,CONFIRMADO,NORMAL
I007,Administracion,1000,1,CONFIRMADO,DOBLE_FAZ
I008,Extension,1,100,CONFIRMADO,NORMAL
I009,Biblioteca,6,3,CONFIRMADO,DOBLE_FAZ
I010,Docencia,13,1,CONFIRMADO,NORMAL
I011,Administracion,20,4,CONFIRMADO,DOBLE_FAZ
I012,Extension,27,2,CONFIRMADO,NORMAL
I013,Biblioteca,5,5,CONFIRMADO,DOBLE_FAZ
I014,Docencia,12,3,CONFIRMADO,DOBLE_FAZ
I015,Administracion,19,1,CONFIRMADO,NORMAL
D1,X,no,0,ANULADO,NORMAL
D2,,0,-1,ANULADO,
E1,X,0,1,CONFIRMADO,NORMAL
E2,X,1,101,CONFIRMADO,DOBLE_FAZ
E3,X,mil,1,CONFIRMADO,NORMAL
E4,,1,1,CONFIRMADO,DOBLE_FAZ
E5,X,1,1,OTRO,NORMAL
E6,X,1,1,CONFIRMADO
I016,Extension,26,4,CONFIRMADO,DOBLE_FAZ
I017,Biblioteca,4,2,CONFIRMADO,DOBLE_FAZ
I018,Docencia,11,5,CONFIRMADO,NORMAL
I019,Administracion,18,3,CONFIRMADO,DOBLE_FAZ
I020,Extension,25,1,CONFIRMADO,NORMAL
I021,Biblioteca,3,4,CONFIRMADO,DOBLE_FAZ
I022,Docencia,10,2,CONFIRMADO,NORMAL
I023,Administracion,17,5,CONFIRMADO,DOBLE_FAZ
I024,Extension,24,3,CONFIRMADO,NORMAL
I025,Biblioteca,2,1,CONFIRMADO,DOBLE_FAZ
I026,Docencia,9,4,CONFIRMADO,NORMAL
I027,Administracion,16,2,CONFIRMADO,DOBLE_FAZ
I028,Extension,23,5,CONFIRMADO,NORMAL
I029,Biblioteca,1,3,CONFIRMADO,NORMAL
I030,Docencia,8,1,CONFIRMADO,DOBLE_FAZ
I031,Administracion,15,4,CONFIRMADO,NORMAL
I032,Extension,22,2,CONFIRMADO,DOBLE_FAZ
I033,Biblioteca,29,5,CONFIRMADO,NORMAL
I034,Docencia,7,3,CONFIRMADO,DOBLE_FAZ
I035,Administracion,14,1,CONFIRMADO,NORMAL
I036,Extension,21,4,CONFIRMADO,DOBLE_FAZ
I037,Biblioteca,28,2,CONFIRMADO,DOBLE_FAZ
I038,Docencia,6,5,CONFIRMADO,NORMAL
I039,Administracion,13,3,CONFIRMADO,DOBLE_FAZ
I040,Extension,20,1,CONFIRMADO,NORMAL
I041,Biblioteca,27,4,CONFIRMADO,DOBLE_FAZ
I042,Docencia,5,2,CONFIRMADO,NORMAL
I043,Administracion,12,5,CONFIRMADO,DOBLE_FAZ
I044,Extension,19,3,CONFIRMADO,NORMAL
I045,Biblioteca,26,1,CONFIRMADO,DOBLE_FAZ
I046,Docencia,4,4,CONFIRMADO,NORMAL
I047,Administracion,11,2,CONFIRMADO,DOBLE_FAZ
I048,Extension,18,5,CONFIRMADO,NORMAL
I049,Biblioteca,25,3,CONFIRMADO,DOBLE_FAZ
I050,Docencia,3,1,CONFIRMADO,DOBLE_FAZ
I051,Administracion,10,4,CONFIRMADO,NORMAL
I052,Extension,17,2,CONFIRMADO,DOBLE_FAZ
I053,Biblioteca,24,5,CONFIRMADO,NORMAL
I054,Docencia,2,3,CONFIRMADO,DOBLE_FAZ
I055,Administracion,9,1,CONFIRMADO,NORMAL
I056,Extension,16,4,CONFIRMADO,DOBLE_FAZ
I057,Biblioteca,23,2,CONFIRMADO,NORMAL
I058,Docencia,1,5,CONFIRMADO,NORMAL
I059,Administracion,8,3,CONFIRMADO,DOBLE_FAZ
I059,Administracion,1,3,CONFIRMADO,DOBLE_FAZ
I060,Extension,15,1,CONFIRMADO,NORMAL
