id,sector,paginas,copias,estado,acabado
P001,Biblioteca,40,2,CONFIRMADO,CUADERNILLO
P002,Docencia,7,3,CONFIRMADO,CUADERNILLO
P003,Docencia,1000,100,CONFIRMADO,SIMPLE
P004,Administracion,5,4,CONFIRMADO,CUADERNILLO
P005,Extension,12,1,CONFIRMADO,SIMPLE
P006,Biblioteca,400,25,CONFIRMADO,CUADERNILLO
P007,Administracion,4,1,CONFIRMADO,CUADERNILLO
P008,Extension,1,1,CONFIRMADO,SIMPLE
P200,Docencia,50,4,ANULADO,CUADERNILLO
P009,Docencia,33,2,CONFIRMADO,CUADERNILLO
P210,Biblioteca,9,9,RECHAZADO,SIMPLE
P010,Biblioteca,60,3,CONFIRMADO,SIMPLE
P011,Administracion,18,5,CONFIRMADO,CUADERNILLO
P012,Extension,25,2,CONFIRMADO,CUADERNILLO
P013,Docencia,120,10,CONFIRMADO,SIMPLE
P014,Biblioteca,16,4,CONFIRMADO,CUADERNILLO
P015,Administracion,3,3,CONFIRMADO,SIMPLE
P016,Docencia,10,2,CONFIRMADO
P017,Docencia,10,2,CONFIRMADO,SIMPLE,extra
P018,Biblioteca,10,2,CONFIRMADO,
P019,Biblioteca,10,2,CONFIRMADO,ANILLADO
P020,Extension,10,2,PENDIENTE,SIMPLE

P021,Docencia,x,2,CONFIRMADO,SIMPLE
P300,Administracion,0,2,CONFIRMADO,SIMPLE
P022,Extension,3,2,CONFIRMADO,CUADERNILLO
P023,Docencia,40,30,CONFIRMADO,CUADERNILLO
P200,Docencia,20,2,CONFIRMADO,SIMPLE
P300,Administracion,20,2,CONFIRMADO,SIMPLE
P005,Extension,12,1,CONFIRMADO,SIMPLE
P005,Extension,8,2,CONFIRMADO,CUADERNILLO
P025,Extension,180,9,CONFIRMADO,SIMPLE
P026,Administracion,174,26,CONFIRMADO,SIMPLE
P027,Biblioteca,144,4,CONFIRMADO,SIMPLE
P028,Docencia,220,6,CONFIRMADO,SIMPLE
P029,Extension,163,38,CONFIRMADO,SIMPLE
P030,Administracion,13,25,CONFIRMADO,SIMPLE
P031,Biblioteca,176,22,CONFIRMADO,CUADERNILLO
P032,Docencia,119,35,CONFIRMADO,SIMPLE
P033,Extension,215,18,CONFIRMADO,CUADERNILLO
P034,Administracion,65,21,CONFIRMADO,SIMPLE
P035,Biblioteca,52,6,CONFIRMADO,SIMPLE
P036,Docencia,7,14,CONFIRMADO,SIMPLE
P037,Extension,80,6,CONFIRMADO,SIMPLE
P038,Administracion,188,17,CONFIRMADO,SIMPLE
P039,Biblioteca,112,22,CONFIRMADO,CUADERNILLO
P040,Docencia,291,33,CONFIRMADO,SIMPLE
P041,Extension,115,7,CONFIRMADO,SIMPLE
P042,Administracion,25,25,CONFIRMADO,CUADERNILLO
P043,Biblioteca,15,15,CONFIRMADO,CUADERNILLO
P044,Docencia,113,12,CONFIRMADO,SIMPLE
P045,Extension,293,31,CONFIRMADO,SIMPLE
P046,Administracion,50,18,CONFIRMADO,CUADERNILLO
P047,Biblioteca,26,35,CONFIRMADO,SIMPLE
P048,Docencia,160,12,CONFIRMADO,SIMPLE
P049,Extension,225,3,CONFIRMADO,SIMPLE
P050,Administracion,101,8,CONFIRMADO,SIMPLE
P051,Biblioteca,172,25,CONFIRMADO,CUADERNILLO
P052,Docencia,188,35,CONFIRMADO,SIMPLE
P053,Extension,41,24,CONFIRMADO,SIMPLE
P054,Administracion,94,27,CONFIRMADO,SIMPLE
P055,Biblioteca,188,18,CONFIRMADO,CUADERNILLO
P056,Docencia,256,13,CONFIRMADO,SIMPLE
P057,Extension,144,11,CONFIRMADO,CUADERNILLO
P058,Administracion,217,21,CONFIRMADO,CUADERNILLO
P059,Biblioteca,136,10,CONFIRMADO,CUADERNILLO
P060,Docencia,99,19,CONFIRMADO,SIMPLE
P061,Extension,196,26,CONFIRMADO,SIMPLE
P062,Administracion,41,25,CONFIRMADO,SIMPLE
P063,Biblioteca,9,39,CONFIRMADO,SIMPLE
P064,Docencia,205,1,CONFIRMADO,CUADERNILLO
P065,Extension,164,18,CONFIRMADO,CUADERNILLO
P066,Administracion,90,11,CONFIRMADO,CUADERNILLO
P067,Biblioteca,20,23,CONFIRMADO,CUADERNILLO
P068,Docencia,64,8,CONFIRMADO,CUADERNILLO
P069,Extension,26,25,CONFIRMADO,SIMPLE
P070,Administracion,102,8,CONFIRMADO,CUADERNILLO
P071,Biblioteca,80,17,CONFIRMADO,SIMPLE
P072,Docencia,162,35,CONFIRMADO,SIMPLE
P073,Extension,201,6,CONFIRMADO,CUADERNILLO
P074,Administracion,112,20,CONFIRMADO,SIMPLE
P075,Biblioteca,154,12,CONFIRMADO,SIMPLE
P076,Docencia,21,8,CONFIRMADO,CUADERNILLO
P077,Extension,220,20,CONFIRMADO,CUADERNILLO
P078,Administracion,64,4,CONFIRMADO,CUADERNILLO
P079,Biblioteca,92,2,CONFIRMADO,CUADERNILLO
P080,Docencia,22,11,CONFIRMADO,SIMPLE
P081,Extension,13,8,CONFIRMADO,CUADERNILLO
P082,Administracion,167,3,CONFIRMADO,CUADERNILLO
P083,Biblioteca,36,1,CONFIRMADO,SIMPLE
P084,Docencia,213,13,CONFIRMADO,CUADERNILLO
P085,Extension,87,10,CONFIRMADO,CUADERNILLO
P086,Administracion,90,38,CONFIRMADO,SIMPLE
P087,Biblioteca,249,38,CONFIRMADO,SIMPLE
P088,Docencia,275,34,CONFIRMADO,SIMPLE
P089,Extension,9,13,CONFIRMADO,CUADERNILLO
P090,Administracion,61,40,CONFIRMADO,SIMPLE
P091,Biblioteca,215,12,CONFIRMADO,CUADERNILLO
P092,Docencia,205,11,CONFIRMADO,CUADERNILLO
P093,Extension,128,7,CONFIRMADO,SIMPLE
P094,Administracion,134,9,CONFIRMADO,CUADERNILLO
P095,Biblioteca,47,23,CONFIRMADO,SIMPLE
P096,Docencia,42,6,CONFIRMADO,SIMPLE
P097,Extension,163,17,CONFIRMADO,CUADERNILLO
P098,Administracion,159,23,CONFIRMADO,CUADERNILLO
P099,Biblioteca,51,8,CONFIRMADO,CUADERNILLO
P100,Docencia,49,29,CONFIRMADO,SIMPLE
P101,Extension,89,12,CONFIRMADO,CUADERNILLO
P102,Administracion,246,8,CONFIRMADO,SIMPLE
P103,Biblioteca,11,5,CONFIRMADO,CUADERNILLO
P104,Docencia,251,23,CONFIRMADO,SIMPLE
P105,Extension,265,29,CONFIRMADO,SIMPLE
P106,Administracion,142,9,CONFIRMADO,CUADERNILLO
P107,Biblioteca,99,35,CONFIRMADO,SIMPLE
P108,Docencia,142,8,CONFIRMADO,SIMPLE
P109,Extension,4,40,CONFIRMADO,SIMPLE
P110,Administracion,45,31,CONFIRMADO,SIMPLE
P111,Biblioteca,104,29,CONFIRMADO,SIMPLE
P112,Docencia,96,11,CONFIRMADO,SIMPLE
P113,Extension,117,10,CONFIRMADO,CUADERNILLO
P114,Administracion,63,6,CONFIRMADO,CUADERNILLO
P115,Biblioteca,194,4,CONFIRMADO,SIMPLE
P116,Docencia,195,12,CONFIRMADO,SIMPLE
P117,Extension,56,2,CONFIRMADO,CUADERNILLO
P118,Administracion,108,8,CONFIRMADO,CUADERNILLO
P119,Biblioteca,255,9,CONFIRMADO,SIMPLE
P120,Docencia,119,5,CONFIRMADO,SIMPLE
P121,Extension,205,23,CONFIRMADO,SIMPLE
P122,Administracion,2,14,CONFIRMADO,SIMPLE
P123,Biblioteca,237,10,CONFIRMADO,SIMPLE
P124,Docencia,170,24,CONFIRMADO,CUADERNILLO
P125,Extension,127,35,CONFIRMADO,SIMPLE
P126,Administracion,135,19,CONFIRMADO,CUADERNILLO
P127,Biblioteca,269,36,CONFIRMADO,SIMPLE
P128,Docencia,11,5,CONFIRMADO,CUADERNILLO
P129,Extension,36,11,CONFIRMADO,CUADERNILLO
P130,Administracion,136,3,CONFIRMADO,CUADERNILLO
P131,Biblioteca,141,9,CONFIRMADO,CUADERNILLO
P132,Docencia,292,16,CONFIRMADO,SIMPLE
P133,Extension,251,23,CONFIRMADO,SIMPLE
