id,sector,paginas,copias,estado
I001,Biblioteca,40,2,CONFIRMADO
I002,Docencia,5,2,CONFIRMADO
I003,Administracion,20,3,CONFIRMADO
I004,Extension,5,1,CONFIRMADO
I005,Biblioteca,1,1,CONFIRMADO
I006,Docencia,1000,100,CONFIRMADO
I007,Administracion,1000,1,CONFIRMADO
I008,Extension,1,100,CONFIRMADO
I009,Biblioteca,6,3,CONFIRMADO
I010,Docencia,13,1,CONFIRMADO
I011,Administracion,20,4,CONFIRMADO
I012,Extension,27,2,CONFIRMADO
I013,Biblioteca,5,5,CONFIRMADO
I014,Docencia,12,3,CONFIRMADO
I015,Administracion,19,1,CONFIRMADO
D1,X,no,0,ANULADO
D2,,0,-1,ANULADO
E1,X,0,1,CONFIRMADO
E2,X,1,101,CONFIRMADO
E3,X,mil,1,CONFIRMADO
E4,,1,1,CONFIRMADO
E5,X,1,1,OTRO
E6,X,1,1
I016,Extension,26,4,CONFIRMADO
I017,Biblioteca,4,2,CONFIRMADO
I018,Docencia,11,5,CONFIRMADO
I019,Administracion,18,3,CONFIRMADO
I020,Extension,25,1,CONFIRMADO
I021,Biblioteca,3,4,CONFIRMADO
I022,Docencia,10,2,CONFIRMADO
I023,Administracion,17,5,CONFIRMADO
I024,Extension,24,3,CONFIRMADO
I025,Biblioteca,2,1,CONFIRMADO
I026,Docencia,9,4,CONFIRMADO
I027,Administracion,16,2,CONFIRMADO
I028,Extension,23,5,CONFIRMADO
I029,Biblioteca,1,3,CONFIRMADO
I030,Docencia,8,1,CONFIRMADO
I031,Administracion,15,4,CONFIRMADO
I032,Extension,22,2,CONFIRMADO
I033,Biblioteca,29,5,CONFIRMADO
I034,Docencia,7,3,CONFIRMADO
I035,Administracion,14,1,CONFIRMADO
I036,Extension,21,4,CONFIRMADO
I037,Biblioteca,28,2,CONFIRMADO
I038,Docencia,6,5,CONFIRMADO
I039,Administracion,13,3,CONFIRMADO
I040,Extension,20,1,CONFIRMADO
I041,Biblioteca,27,4,CONFIRMADO
I042,Docencia,5,2,CONFIRMADO
I043,Administracion,12,5,CONFIRMADO
I044,Extension,19,3,CONFIRMADO
I045,Biblioteca,26,1,CONFIRMADO
I046,Docencia,4,4,CONFIRMADO
I047,Administracion,11,2,CONFIRMADO
I048,Extension,18,5,CONFIRMADO
I049,Biblioteca,25,3,CONFIRMADO
I050,Docencia,3,1,CONFIRMADO
I051,Administracion,10,4,CONFIRMADO
I052,Extension,17,2,CONFIRMADO
I053,Biblioteca,24,5,CONFIRMADO
I054,Docencia,2,3,CONFIRMADO
I055,Administracion,9,1,CONFIRMADO
I056,Extension,16,4,CONFIRMADO
I057,Biblioteca,23,2,CONFIRMADO
I058,Docencia,1,5,CONFIRMADO
I059,Administracion,8,3,CONFIRMADO
I060,Extension,15,1,CONFIRMADO
